Species,Culture accession No.1,Host/Substrate,Family,Location,lsu,its,tub,tef
Pestalotiopsis adusta,ICMP 6088*,On refrigerator door PVC gasket,,Fiji,,JX399006,JX399037,JX399070
Pestalotiopsis anacardiacearum,IFRDCC 2397*,Mangifera indica,Anacardiaceae,China,,KC247154,KC247155,KC247156
Pestalotiopsis arceuthobii,CBS 434.65*,Arceuthobium campylopodum,Santalaceae,USA,KM116243,KM199341,KM199427,KM199516
Pestalotiopsis arengae,CBS 331.92*,Arenga undulatifolia,Arecaceae,Singapore,KM116207,KM199340,KM199426,KM199515
Pestalotiopsis australasiae,CBS 114126 STE-U 2896*,Knightia sp.,Proteaceae,New Zealand,KM116218,KM199297,KM199409,KM199499
Pestalotiopsis australis,CBS 111503; STE-U 1770,Protea neriifolia × susannae cv. ‘Pink Ice’,Proteaceae,South Africa,KM116200,KM199331,KM199382,KM199557
Pestalotiopsis biciliata,CBS 124463*,Platanus × hispanica,Platanaceae,Slovakia,KM116224,KM199308,KM199399,KM199505
Pestalotiopsis camelliae,CBS 443.62,Camellia sinensis,Theaceae,Turkey,KM116225,KM199336,KM199424,KM199512
Pestalotiopsis chamaeropis,CBS 113604; STE-U 3078,,,,KM116201,KM199323,KM199389,KM199471
Pestalotiopsis clavata,MFLUCC 12-0268; NN0471340*,Buxus sp.,Buxaceae,China,,JX398990,JX399025,JX399056
Pestalotiopsis colombiensis,CBS 118553; CPC 10969*,Eucalyptus eurograndis,Myrtaceae,Colombia,KM116222,KM199307,KM199421,KM199488
Pestalotiopsis diploclisiae,CBS 115449; HKUCC 9103,Psychotria tutcheri,Rubiaceae,Hong Kong,KM116215,KM199314,KM199416,KM199485
Pestalotiopsis diversiseta,MFLUCC 12-0287; NN0472610*,Rhododendron sp.,Ericaceae,China,,JX399009,JX399040,JX399073
Pestalotiopsis ericacearum,IFRDCC 2439*,Rhododendron delavayi,Ericaceae,China,,KC537807,KC537821,KC537814
Pestalotiopsis furcata,MFLUCC 12-0054; CPC 20280*,Camellia sinensis,Theaceae,Thailand,KM116283,JQ683724,JQ683708,JQ683740
Pestalotiopsis gaultheria,IFRD 411-014*,Gaultheria forrestii,Ericaceae,China,,KC537805,KC537819,KC537812
Pestalotiopsis grevilleae,CBS 114127; STE-U 2919*,Grevillea sp.,Proteaceae,Australia,KM116212,KM199300,KM199407,KM199504
Pestalotiopsis hawaiiensis,CBS 114491; STE-U 2215*,Leucospermum sp. cv. ‘Coral’,Myrtaceae,USA: Hawaii,KM116239,KM199339,KM199428,KM199514
Pestalotiopsis hollandica,CBS 265.33*,Sciadopitys verticillata,Sciadopityaceae,Netherlands,KM116228,KM199328,KM199388,KM199481
Pestalotiopsis humus,CBS 115450; HKUCC 9100,Ilex cinerea,Aquifoliaceae,Hong Kong,KM116208,KM199319,KM199418,KM199487
Pestalotiopsis inflexa,MFLUCC 12-0270; NN0470980*,Unidentified tree,,China,,JX399008,JX399039,JX399072
Pestalotiopsis intermedia,MFLUCC 12-0259; NN0476420*,Unidentified tree,,China,,JX398993,JX399028,JX399059
Pestalotiopsis jesteri,CBS 109350 = MONT 6M-B-3*,Fragraea bodenii,Gentianaceae,Papua New Guinea,KM116281,KM199380,KM199468,KM199554
Pestalotiopsis kenyana,CBS 442.67*,Coffea sp.,Rubiaceae,Kenya,KM116234,KM199302,KM199395,KM199502
Pestalotiopsis knightiae,CBS 111963; STE-U 2905,Knightia sp.,Proteaceae,New Zealand,KM116241,KM199311,KM199406,KM199495
Pestalotiopsis linearis,MFLUCC 12-0271; NN0471900*,Trachelospermum sp.,Apocynaceae,China,,JX398992,JX399027,JX399058
Pestalotiopsis malayana,CBS 102220*,Macaranga triloba,Euphorbiaceae,Malaysia,KM116238,KM199306,KM199411,KM199482
Pestalotiopsis monochaeta,CBS 144.97*,Quercus robur,Fagaceae,Netherlands,KM116229,KM199327,KM199386,KM199479
Pestalotiopsis novae-hollandiae,CBS 130973*,Banksia grandis,Proteaceae,Australia,KM116232,KM199337,KM199425,KM199511
Pestalotiopsis oryzae,CBS 111522; STE-U 2083,Telopea sp.,Proteaceae,USA: Hawaii,,KM199294,KM199394,KM199493
Pestalotiopsis papuana,CBS 331.96*,Coastal soil,,Papua New Guinea,KM116240,KM199321,KM199413,KM199491
Pestalotiopsis parva,CBS 265.37; BBA 2820*,Delonix regia,Fabaceae,,KM116226,KM199312,KM199404,KM199508
Pestalotiopsis portugalica,CBS 393.48*,,,Portugal,KM116233,KM199335,KM199422,KM199510
Pestalotiopsis rhododendri,IFRDCC 2399*,Rhododendron sinogrande,Ericaceae,China,,KC537804,KC537818,KC537811
Pestalotiopsis rosea,MFLUCC 12-0258; NN0471350*,Pinus sp.,Pinaceae,China,,JX399005,JX399036,JX399069
Pestalotiopsis scoparia,CBS 176.25*,Chamaecyparis sp.,Cupressaceae,,KM116216,KM199330,KM199393,KM199478
Pestalotiopsis spathulata,CBS 356.86*,Gevuina avellana,Proteaceae,Chile,KM116236,KM199338,KM199423,KM199513
Pestalotiopsis telopeae,CBS 113606; STE-U 3082,Telopea sp.,Proteaceae,Australia,KM116202,KM199295,KM199402,KM199498
Pestalotiopsis trachicarpicola,IFRDCC 2403,Podocarpus macrophyllus,Podocarpaceae,China,,KC537809,KC537823,KC537816
Pestalotiopsis unicolor,MFLUCC 12-0275; NN0473080,Unidentified tree,,China,,JX398998,JX399029,JX399063
Neopestalotiopsis saprophytica,MFLUCC 12-0282; NN047136*,Magnolia sp.,Magnoliaceae,China,—,JX398982,JX399017,JX399048
